latitude,longitude
37.787025,-122.40303
37.787025,-122.40303
37.780994,-122.41315
37.780994,-122.41315
37.773476,-122.41803
37.72163,-122.47167
37.738953,-122.42581
\N,\N
37.76643,-122.464386
37.762924,-122.3907
37.78743,-122.40993
37.785168,-122.4179
37.750362,-122.436226
37.752205,-122.419014
37.752205,-122.419014
37.759647,-122.44858
37.765644,-122.427704
37.789227,-122.40859
37.76613,-122.42882
37.7686,-122.41454
37.7686,-122.41454
37.724194,-122.406555
37.745388,-122.42002
37.77516,-122.40363
37.73197,-122.49229
37.78223,-122.41029
37.807484,-122.41398
37.776016,-122.44478
37.7818,-122.388306
37.733105,-122.4409
37.788597,-122.41354
37.78143,-122.43233
37.780926,-122.41367
37.801632,-122.44782
37.784237,-122.41771
37.776688,-122.424515
37.781654,-122.415504
37.78445,-122.41607
37.764194,-122.44827
37.71501,-122.47299
37.793015,-122.416115
37.77516,-122.40363
\N,\N
37.749718,-122.4069
37.77872,-122.41474
\N,\N
37.78414,-122.41095
37.766167,-122.460014
37.780006,-122.411934
37.739853,-122.391266
37.788033,-122.406685
37.788033,-122.406685
37.788033,-122.406685
37.748787,-122.47287
37.78185,-122.42904
\N,\N
37.717762,-122.42917
37.76451,-122.45257
37.788326,-122.42696
37.73431,-122.398346
37.798443,-122.40988
37.748974,-122.41924
37.784657,-122.41443
37.798443,-122.40988
37.711952,-122.40973
37.78795,-122.43365
37.78491,-122.40479
37.77737,-122.399765
37.762356,-122.43734
37.760498,-122.41484
37.773285,-122.412224
37.756638,-122.44222
37.783287,-122.40895
37.77623,-122.41471
37.78641,-122.408035
37.77326,-122.46909
37.780994,-122.41315
37.739277,-122.400246
37.78641,-122.408035
\N,\N
37.78393,-122.4126
37.785282,-122.4095
37.78245,-122.401695
37.792385,-122.42105
37.792385,-122.42105
37.765842,-122.406555
37.73106,-122.47213
37.74616,-122.38718
37.719753,-122.40643
37.80257,-122.40742
37.73355,-122.43414
37.782795,-122.414055
37.7831,-122.41918
37.7091,-122.40598
37.785744,-122.40583
37.786247,-122.42824
37.763107,-122.387794
37.744297,-122.404526
37.74175,-122.42098
\N,\N
37.727913,-122.39353
37.786167,-122.42137
37.739277,-122.400246
37.71996,-122.45233
37.7831,-122.41918
37.77928,-122.45986
37.72993,-122.43011
37.80228,-122.42473
37.768475,-122.40583
37.765068,-122.48583
37.75743,-122.42569
37.766674,-122.41982
37.75227,-122.41788
37.739796,-122.425575
37.78962,-122.420494
37.797092,-122.39833
37.788033,-122.406685
37.726685,-122.41741
37.730015,-122.377205
37.7704,-122.460106
\N,\N
37.780716,-122.43043
\N,\N
37.7818,-122.39834
37.788692,-122.40522
37.781654,-122.415504
37.784008,-122.40486
37.73606,-122.42447
37.73606,-122.42447
37.739136,-122.47972
37.73318,-122.43112
37.793934,-122.42305
37.77746,-122.413155
37.78687,-122.42331
37.78431,-122.39516
37.780716,-122.43043
37.780716,-122.43043
37.783833,-122.48609
\N,\N
37.743122,-122.403275
37.713192,-122.456055
37.77872,-122.41474
37.71974,-122.39242
37.779316,-122.40663
37.792973,-122.40936
\N,\N
37.774597,-122.42589
37.807163,-122.4089
37.719734,-122.407974
37.78249,-122.44582
37.73623,-122.50316
37.77749,-122.43322
37.78393,-122.4126
37.789318,-122.415375
37.77746,-122.413155
37.718636,-122.441315
37.77281,-122.41283
37.753956,-122.4829
37.778835,-122.44534
37.729355,-122.38942
37.76654,-122.42204
37.791496,-122.420876
37.783924,-122.42778
\N,\N
37.79486,-122.40488
37.724007,-122.43531
37.799,-122.44265
37.79326,-122.42123
37.752834,-122.38776
37.783287,-122.40895
37.793682,-122.41794
37.78108,-122.42383
37.771397,-122.509895
37.773037,-122.42194
37.807484,-122.41398
37.766903,-122.41061
37.739723,-122.46699
37.743885,-122.38312
37.792343,-122.41429
37.77589,-122.41513
37.7555,-122.417656
37.712624,-122.44474
\N,\N
37.743122,-122.403275
37.779133,-122.39754
37.80019,-122.44118
37.799,-122.44265
37.788944,-122.42214
37.783085,-122.43435
37.77063,-122.41248
37.766064,-122.429924
37.72849,-122.3929
37.78694,-122.411514
37.79888,-122.3987
\N,\N
37.73597,-122.441925
37.70968,-122.450096
37.727375,-122.404594
37.73126,-122.40113
37.805496,-122.422005
37.77746,-122.413155
37.752205,-122.419014
37.72372,-122.471306
37.76975,-122.40439
37.72183,-122.462265
37.753223,-122.428696
37.756832,-122.4067
37.77746,-122.413155
37.792088,-122.41629
37.762127,-122.50962
37.764194,-122.41229
37.78242,-122.416985
37.761288,-122.42835
37.782585,-122.415695
37.752205,-122.419014
37.765053,-122.41967
37.78172,-122.45317
37.78795,-122.43365
37.780163,-122.40769
37.763187,-122.4073
37.796417,-122.403496
\N,\N
37.759792,-122.40015
37.747353,-122.41049
37.753956,-122.4829
37.764023,-122.39373
37.770897,-122.41499
37.784454,-122.40849
37.77021,-122.44534
37.773315,-122.45097
37.749744,-122.39627
37.72695,-122.476036
37.72949,-122.3814
37.759556,-122.43042
37.7872,-122.41699
37.78579,-122.41297
37.72695,-122.476036
37.77516,-122.40363
37.75929,-122.43485
37.784615,-122.41478
37.782585,-122.415695
37.784046,-122.40371
37.787968,-122.418465
37.729908,-122.39718
37.746346,-122.4084
37.799458,-122.40184
37.791496,-122.420876
37.750706,-122.4172
37.73968,-122.40888
37.78357,-122.41927
37.71575,-122.44155
37.801632,-122.44782
37.776688,-122.424515
37.752205,-122.419014
37.73899,-122.403076
37.764977,-122.4209
37.764977,-122.4209
37.77746,-122.413155
37.733536,-122.38848
37.712296,-122.459015
37.771297,-122.405426
37.771297,-122.405426
37.71073,-122.41877
37.77966,-122.40929
37.807484,-122.41398
37.728672,-122.43575
37.805695,-122.40536
37.774033,-122.39558
37.801018,-122.4396
37.78393,-122.4126
37.783722,-122.41424
37.78963,-122.405396
37.728485,-122.38456
37.784027,-122.48179
37.782585,-122.415695
37.782585,-122.415695
37.784454,-122.40849
37.73351,-122.39768
37.783516,-122.415886
37.80676,-122.41214
37.74541,-122.507034
37.729305,-122.433975
37.78642,-122.45341
37.788292,-122.4084
37.757854,-122.444664
37.78249,-122.44582
37.798344,-122.42563
37.764194,-122.41229
37.732613,-122.477844
37.774567,-122.41263
\N,\N
37.786568,-122.41818
37.78758,-122.399254
37.772053,-122.410675
37.73566,-122.38718
37.764114,-122.50726
37.781116,-122.4272
37.757874,-122.478874
37.739277,-122.400246
37.72821,-122.4787
\N,\N
37.773857,-122.40529
37.775078,-122.51129
37.77476,-122.42086
\N,\N
37.71218,-122.40246
37.74956,-122.436134
37.71931,-122.438866
37.731544,-122.44887
37.785583,-122.41462
37.780964,-122.465355
37.785152,-122.43308
37.787567,-122.40659
37.785374,-122.431366
37.77283,-122.39137
\N,\N
\N,\N
37.786198,-122.42486
37.773457,-122.42736
37.773457,-122.42736
37.741108,-122.38847
37.797493,-122.40969
37.78795,-122.43365
37.78143,-122.43233
37.791496,-122.420876
37.753838,-122.418594
37.797092,-122.39833
37.773525,-122.449326
37.749695,-122.43393
37.798763,-122.42234
37.753838,-122.418594
37.753838,-122.418594
37.780495,-122.432144
37.729305,-122.433975
37.723965,-122.45651
37.77999,-122.41349
37.786224,-122.38963
37.78331,-122.41753
37.780006,-122.411934
37.716087,-122.47071
37.798443,-122.40988
37.763374,-122.42043
37.77872,-122.41474
37.784008,-122.40486
37.776882,-122.42298
37.782074,-122.412224
\N,\N
37.801094,-122.42618
37.80019,-122.44118
37.757595,-122.40959
37.78641,-122.408035
37.757687,-122.4347
37.73717,-122.38986
37.765053,-122.41967
37.789265,-122.401375
\N,\N
37.79486,-122.40488
37.770992,-122.45684
37.773857,-122.40529
37.77542,-122.419395
37.7834,-122.42429
37.709072,-122.44768
37.77111,-122.38953
37.80569,-122.43555
37.777775,-122.41601
37.74616,-122.38718
37.739296,-122.41859
37.73777,-122.3818
\N,\N
37.80256,-122.438
37.711407,-122.45604
37.736286,-122.39165
37.731846,-122.49514
37.798153,-122.40708
37.70968,-122.45389
37.78445,-122.41607
37.78795,-122.43365
37.772507,-122.393936
37.796417,-122.403496
37.78456,-122.40733
37.723915,-122.391495
37.772896,-122.454285
37.75896,-122.4136
37.793526,-122.41211
37.725304,-122.37895
\N,\N
37.77966,-122.40929
37.769592,-122.41558
37.769592,-122.41558
37.760887,-122.435
37.786198,-122.42486
37.778046,-122.412415
37.788223,-122.42021
37.80676,-122.41214
37.788387,-122.415184
37.779133,-122.39754
37.794144,-122.4214
37.764946,-122.42138
37.807484,-122.41398
37.74871,-122.423676
37.760933,-122.447624
37.807278,-122.41562
37.80696,-122.4105
37.75051,-122.476166
37.72826,-122.444275
